시군명,인허가일자,영업상태명,업체수
평택시,20190722,정상,1
여주시,20190722,정상,1
연천군,20190723,정상,1
포천시,20190729,정상,1
용인시,20190730,정상,1
이천시,20190801,정상,1
평택시,20190801,정상,1
평택시,20190802,정상,1
여주시,20190802,정상,1
여주시,20190802,정상,1
여주시,20190802,정상,1
남양주시,20190805,정상,1
의정부시,20190806,정상,1
김포시,20190807,정상,1
양평군,20190812,정상,1
고양시,20190814,정상,1
이천시,20190820,정상,1
김포시,20190820,정상,1
안성시,20190821,정상,1
광주시,20190827,정상,1
여주시,20190902,정상,1
포천시,20190902,정상,1
용인시,20190903,정상,1
가평군,20190903,정상,1
파주시,20190903,정상,1
가평군,20190903,정상,1
용인시,20190903,정상,1
용인시,20190904,정상,1
화성시,20190905,정상,1
남양주시,20190906,정상,1
여주시,20190911,정상,1
안성시,20190916,정상,1
남양주시,20190916,정상,1
포천시,20190919,정상,1
김포시,20190922,정상,1
김포시,20190922,정상,1
양평군,20190923,정상,1
김포시,20190923,정상,1
양평군,20190923,정상,1
화성시,20190924,정상,1
화성시,20190924,정상,1
김포시,20190928,정상,1
김포시,20190928,정상,1
김포시,20190928,정상,1
김포시,20190928,정상,1
이천시,20190929,정상,1
용인시,20190930,정상,1
평택시,20191002,정상,1
파주시,20191005,정상,1
고양시,20191006,정상,1
여주시,20191008,정상,1
이천시,20191008,정상,1
가평군,20191010,정상,1
평택시,20191010,정상,1
안성시,20191010,정상,1
안성시,20191014,정상,1
용인시,20191014,정상,1
연천군,20191014,정상,1
안성시,20191016,정상,1
김포시,20191017,정상,1
양평군,20191021,정상,1
양평군,20191021,정상,1
김포시,20191021,정상,1
안성시,20191024,정상,1
양평군,20191027,정상,1
포천시,20191029,정상,1
화성시,20191031,정상,1
양평군,20191031,정상,1
동두천시,20191104,정상,1
양평군,20191104,정상,1
파주시,20191106,정상,1
화성시,20191107,정상,1
남양주시,20191111,정상,1
광주시,20191113,정상,1
포천시,20191114,정상,1
이천시,20191114,정상,1
양평군,20191118,정상,1
용인시,20191120,정상,1
포천시,20191120,정상,1
안성시,20191129,정상,1
김포시,20191129,정상,1
화성시,20191203,정상,1
화성시,20191203,정상,1
고양시,20191205,정상,1
화성시,20191209,정상,1
이천시,20191212,정상,1
양평군,20191215,정상,1
화성시,20191216,정상,1
가평군,20191218,정상,1
가평군,20191218,정상,1
평택시,20191219,정상,1
포천시,20191224,정상,1
이천시,20191227,정상,1
양평군,20191230,정상,1
화성시,20191231,정상,1
양평군,20200103,정상,1
고양시,20200107,정상,1
고양시,20200107,정상,1
포천시,20200115,정상,1
파주시,20200116,정상,1
안성시,20200116,정상,1
화성시,20200116,정상,1
수원시,20200121,정상,1
양평군,20200121,정상,1
용인시,20200128,정상,1
양주시,20200130,정상,1
포천시,20200203,정상,1
안산시,20200207,정상,1
화성시,20200211,정상,1
광주시,20200211,정상,1
김포시,20200213,정상,1
김포시,20200213,정상,1
포천시,20200217,정상,1
포천시,20200221,정상,1
양주시,20200224,정상,1
성남시,20200224,정상,1
포천시,20200225,정상,1
파주시,20200225,정상,1
안성시,20200227,정상,1
포천시,20200228,정상,1
포천시,20200304,정상,1
양평군,20200306,정상,1
화성시,20200309,정상,1
이천시,20200313,정상,1
안성시,20200313,정상,1
김포시,20200317,정상,1
안양시,20200317,정상,1
양평군,20200318,정상,1
이천시,20200319,정상,1
김포시,20200323,정상,1
안성시,20200324,정상,1
파주시,20200326,정상,1
파주시,20200327,정상,1
용인시,20200327,정상,1
용인시,20200327,정상,1
이천시,20200327,정상,1
화성시,20200402,정상,1
안성시,20200406,정상,1
포천시,20200408,정상,1
파주시,20200408,정상,1
고양시,20200414,정상,1
포천시,20200416,정상,1
파주시,20200416,정상,1
평택시,20200421,정상,1
포천시,20200422,정상,1
고양시,20200428,정상,1
양평군,20200507,정상,1
포천시,20200508,정상,1
여주시,20200508,정상,1
남양주시,20200512,정상,1
김포시,20200513,정상,1
김포시,20200513,정상,1
파주시,20200514,정상,1
이천시,20200519,정상,1
이천시,20200519,정상,1
이천시,20200519,정상,1
안성시,20200520,정상,1
양평군,20200521,정상,1
양평군,20200521,정상,1
양평군,20200522,정상,1
용인시,20200527,정상,1
화성시,20200527,정상,1
양평군,20200601,정상,1
안성시,20200611,정상,1
양평군,20200611,정상,1
화성시,20200630,정상,1
김포시,20200630,정상,1
안성시,20200701,정상,1
남양주시,20200702,정상,1
안성시,20200706,정상,1
여주시,20200723,정상,1
파주시,20200729,정상,1
양평군,20200731,정상,1
파주시,20200731,정상,1
포천시,20200805,정상,1
김포시,20200813,정상,1
김포시,20200813,정상,1
화성시,20200820,정상,1
여주시,20200827,정상,1
김포시,20200828,정상,1
이천시,20200901,정상,1
화성시,20200907,정상,1
양주시,20200911,정상,1
용인시,20200915,정상,1
포천시,20200921,정상,1
평택시,20200923,정상,1
양주시,20200928,정상,1
파주시,20200928,정상,1
고양시,20200929,정상,1
파주시,20201006,정상,1
파주시,20201006,정상,1
안성시,20201007,정상,1
이천시,20201015,정상,1
이천시,20201015,정상,1
평택시,20201021,정상,1
남양주시,20201023,정상,1
김포시,20201026,정상,1
김포시,20201027,정상,1
양평군,20201027,정상,1
수원시,20201105,정상,1
동두천시,20201108,정상,1
파주시,20201113,정상,1
화성시,20201117,정상,1
화성시,20201117,정상,1
파주시,20201117,정상,1
김포시,20201118,정상,1
안성시,20201119,정상,1
화성시,20201119,정상,1
파주시,20201125,정상,1
고양시,20201126,정상,1
가평군,20201127,정상,1
안성시,20201201,정상,1
연천군,20201202,정상,1
파주시,20201209,정상,1
용인시,20201218,정상,1
김포시,20201222,정상,1
양평군,20201222,정상,1
양평군,20201222,정상,1
김포시,20201227,정상,1
파주시,20201229,정상,1
가평군,20201231,정상,1
김포시,20201231,정상,1
이천시,20210107,정상,1
여주시,20210108,정상,1
파주시,20210111,정상,1
고양시,20210111,정상,1
파주시,20210113,정상,1
포천시,20210115,정상,1
양주시,20210119,정상,1
여주시,20210121,정상,1
이천시,20210128,정상,1
군포시,20210205,정상,1
파주시,20210208,정상,1
파주시,20210215,정상,1
파주시,20210216,정상,1
파주시,20210216,정상,1
김포시,20210217,정상,1
파주시,20210222,정상,1
김포시,20210222,정상,1
여주시,20210224,정상,1
광주시,20210226,정상,1
여주시,20210302,정상,1
파주시,20210308,정상,1
양주시,20210309,정상,1
파주시,20210310,정상,1
화성시,20210316,정상,1
김포시,20210325,정상,1
의왕시,20210325,정상,1
